Scholarship_Name,Tổ chức cấp học bổng,Loại học bổng,Mức tài trợ,Chi tiết tài trợ,Hình thức mở đơn,Tháng mở đơn (thường niên),Ngày bắt đầu nhận hồ sơ,Ngày kết thúc nộp hồ sơ,Số lượng suất (nếu có),Dành cho sinh viên Việt Nam,Giới hạn đối tượng,Danh sách giới hạn đối tượng (nếu có),Giới hạn ngành nghề,Danh sách nhóm ngành / ngành cụ thể,Bằng cấp yêu cầu,GPA tối thiểu,Yêu cầu xếp hạng / liên quan ngành học,Kinh nghiệm yêu cầu,Năng lực & thành tích (requirements.competencies),Điều kiện gia hạn học bổng,Hồ sơ yêu cầu,Quy trình nộp hồ sơ,Liên kết học bổng (URL),Ghi chú (nếu có),Thường niên (Có/Không/Chưa rõ),% SV toàn trường nhận hỗ trợ tài chính,Mức hỗ trợ trung bình toàn trường,,,
Shell Scholarship (Undergraduate) – Nigeria,Shell Nigeria,Quỹ / Tổ chức,Tài trợ học phí/phụ cấp (theo từng hạng mục),Có nhiều hạng mục (Secondary/University) cho cộng đồng sở tại; số lượng rất lớn mỗi năm ở cấp THPT; bậc ĐH có nhánh riêng,Đơn theo hướng dẫn Shell Nigeria,6–9 (tuỳ đợt),Tuỳ thông báo,Tuỳ thông báo,Chưa công bố,Có,Thường ưu tiên cộng đồng khu vực hoạt động của Shell tại Nigeria,Các bang sở tại,Có (theo ngành ưu tiên),Kỹ thuật/Khoa học và ngành liên quan (tuỳ đợt),THPT (Nigeria) + điều kiện quốc tịch/ngành,Không nêu,—,—,—,Theo thư mời,Đơn online/qua đầu mối cộng đồng,https://www.shell.com.ng/sustainability/communities/education-programmes/scholarships.html,Bản tham chiếu để bạn đối chiếu khác quốc gia,Có,Không áp dụng,Không áp dụng,,,,
Mastercard Foundation Scholars Program,Mastercard Foundation,Quỹ / Tổ chức,"Toàn phần (qua trường/NGO đối tác): học phí, sinh hoạt, vé máy bay, hỗ trợ toàn diện",Ứng tuyển trực tiếp tại trường/đơn vị đối tác trong danh sách; quyền lợi & lịch tùy từng đối tác,Nộp tại trường/NGO đối tác,Tuỳ đối tác,Tuỳ đối tác,Tuỳ đối tác,Chưa công bố,Không,Chủ yếu công dân Châu Phi theo phạm vi của chương trình,Danh sách đối tác trên trang chương trình,Không,Phụ thuộc từng đối tác,THPT (hoặc tương đương) + trúng tuyển trường đối tác MCF,Không nêu,Đạt chuẩn tuyển sinh của trường đối tác,—,"Học thuật tốt, lãnh đạo, dấn thân cộng đồng",Theo quy định từng đối tác,Hồ sơ nhập học + bộ hồ sơ học bổng theo hướng dẫn đối tác,Chọn trường trong danh sách đối tác → làm theo hướng dẫn,https://mastercardfdn.org/en/what-we-do/our-programs/mastercard-foundation-scholars-program/,"Chương trình ô dù, không có cổng nộp chung",Có,Không áp dụng,Không áp dụng,,,
Generation Google Scholarship (APAC),EMEA,NA),Google (phối hợp IIE),Quỹ / Tổ chức,APAC: USD 2.500; EMEA: ~EUR 7.000; NA: USD 10.000 (1 năm),"Hỗ trợ 1 năm; tiêu chí: thành tích học thuật, lãnh đạo/đóng góp, có thể xét nhu cầu tài chính; một số nhánh dành cho nữ ngành CNTT",Đơn trực tuyến theo khu vực,2–5 (tuỳ khu vực),Theo thông báo khu vực,Theo thông báo khu vực,Chưa công bố,Có,Theo khu vực trường đang theo học (APAC/EMEA/NA),—,THPT (hoặc tương đương) + theo yêu cầu ngành/đang là SV,Khoa học máy tính/ Kỹ thuật phần mềm/ liên quan,Cử nhân,Không nêu,Đang học/nguyện vọng học ngành liên quan CS,Hoạt động cộng đồng/công nghệ,"Học thuật tốt, lãnh đạo, đa dạng & hoà nhập",1 năm; có thể nộp lại mùa sau nếu đủ điều kiện,Đơn online + bảng điểm + CV + bài luận (+ chứng minh tài chính nếu yêu cầu),Nộp trên cổng khu vực của Google/IIE,https://www.google.com/about/careers/applications/buildyourfuture/scholarships/generation-google-scholarship-apac,Số tiền khác nhau theo khu vực,Có,Không áp dụng,Không áp dụng,
Shell Scholarship (Undergraduate – Malaysia),Shell Malaysia,Quỹ / Tổ chức,Tài trợ học phí + phụ cấp (A-levels → ĐH),Ưu tiên ngành Kỹ thuật/Khoa học/Thương mại; yêu cầu thành tích SPM/O-level rất cao; có nhiều vòng đánh giá,Đơn trực tuyến,4–5,Theo ngày có kết quả SPM,Rolling theo thông báo,Chưa công bố,Có,Ứng viên đủ điều kiện tại Malaysia,—,Có,Kỹ thuật/KHTN/Kinh doanh (tuỳ năm),THPT (Malaysia) + đỗ ngành liên quan,Điểm SPM/O-level rất cao,—,"Hoạt động ngoại khoá, lãnh đạo","Học thuật mạnh, lãnh đạo, phù hợp ngành năng lượng",Theo hợp đồng/tiến độ học tập,Đơn online + đánh giá nhiều vòng,Đăng ký trên cổng Shell → thi/đánh giá → phỏng vấn,https://www.shell.com.my/about-us/careers/students-and-graduates/scholarships.html,Ví dụ nhánh Malaysia; Shell có nhiều nhánh theo quốc gia,Có,Không áp dụng,Không áp dụng,,,
Rotary District Grants (Potential Undergraduate Funding),Rotary International (qua các District),Quỹ / Tổ chức,Tuỳ quỹ District; có thể tài trợ học phí/nghiên cứu/ngắn hạn,"Quy mô nhỏ, ngắn hạn (≥6 tuần đến ≥1 năm); ứng tuyển qua Rotary Club/District địa phương",Nộp qua Rotary Club/District,Tuỳ District,Tuỳ District,Tuỳ District,Chưa công bố,Có,Phụ thuộc quy định District/Club; không dành cho Rotarian/gia đình trực hệ,—,Không,Mọi ngành (tuỳ đề xuất),THPT (hoặc tương đương) + theo tiêu chí quỹ Rotary địa phương,Không nêu,Phù hợp lĩnh vực ưu tiên của Rotary,Hoạt động cộng đồng,"Cam kết phục vụ cộng đồng, đạo đức",Theo quy định tài trợ của District,Đơn theo mẫu District + thư giới thiệu Club,Liên hệ Rotary Club địa phương để được bảo trợ nộp grant,https://www.rotary.org/en/our-programs/scholarships,Mức/chu kỳ thay đổi theo District,Có,Không áp dụng,Không áp dụng,,,
Heinrich Böll Scholarships (All Levels – DE),Heinrich Böll Stiftung,Quỹ / Tổ chức,~1.500 suất/năm; mức trợ cấp theo khung BMBF (B/M) & €1.200/tháng + phụ cấp (PhD),"Yêu cầu năng lực tiếng Đức (thường B2/DSH-2), cam kết xã hội–môi trường; **KHÔNG** mở cho Cử nhân quốc tế tại Đức (undergrad quốc tế không đủ điều kiện)",Cổng nộp online,3 & 9,~6 tuần trước hạn mở cổng,01/03 & 01/09,~1.500/năm,Không,Không nhận hồ sơ Cử nhân quốc tế tại Đức,—,Không,—,Không phải bậc Cử nhân (chủ yếu Master/PhD),—,—,—,—,—,Chỉ dành cho B/M/PhD (không áp dụng bậc Cử nhân quốc tế),—,https://www.boell.de/en/scholarships,Quan trọng: KHÔNG áp dụng cho Cử nhân quốc tế,Có,Không áp dụng,Không áp dụng,,,
Benjamin A. Gilman International Scholarship Program,U.S. Department of State (ECA) – IIE,Chính phủ,Tối đa USD 5.000 (+ đến USD 3.000 Critical Need Language; + USD 1.000 STEM),Dành cho công dân Hoa Kỳ nhận Pell Grant để du học/thực tập có tín chỉ; ~2 đợt/năm,Cổng nộp trực tuyến Gilman,1 & 8–10,Giữa 1 (cho hạn 3),Đầu 3 &/hoặc đầu 10,~3.000/năm,Không,Chỉ công dân Hoa Kỳ; đang nhận Pell Grant,—,Không,Mọi ngành (chương trình có tín chỉ),Đang là SV ĐH tại Mỹ + công dân/PR Mỹ,Không nêu,Đang nhận Pell Grant; tiến độ tốt,—,Bài luận thuyết phục; ưu tiên đa dạng/điểm đến ít phổ biến,Theo điều kiện giải thưởng (1 lần/đời),Đơn online + bảng điểm + advisor certification,Nộp cổng → advisor xác nhận → xét chọn,https://www.gilmanscholarship.org/,Đưa làm tham chiếu tiêu chuẩn,Có,Không áp dụng,Không áp dụng,,,
Global Undergraduate Exchange Program (Global UGRAD),U.S. Department of State (ECA) – World Learning,Chính phủ,"Trao đổi 1 học kỳ: học phí, nhà ở, ăn ở, vé máy bay, bảo hiểm, trợ cấp",Không cấp bằng; yêu cầu còn ≥1 năm ở trường sở tại sau khi kết thúc; có Việt Nam trong danh sách,Cổng World Learning/ĐSQ Mỹ,10–11 (VN thường 11),Theo thông báo,Cuối 12–1,Chưa công bố,Có,Công dân các nước tham gia; ≥18 tuổi; SV chính quy; tiếng Anh đáp ứng (có thể bồi dưỡng),Việt Nam thuộc danh sách,Không,Mọi ngành (non-degree ở Mỹ),"Đang là SV ĐH (năm 1–3) (trao đổi, không cấp bằng)",Không nêu,Đang học toàn thời gian; còn 1 năm sau chương trình,Hoạt động cộng đồng,"Học thuật tốt, thích nghi, đóng góp",Không gia hạn (1 kỳ),Đơn online + bảng điểm + bài luận + tài liệu phụ trợ,Nộp qua World Learning/ĐSQ; phỏng vấn; sắp xếp trường tại Mỹ,https://exchanges.state.gov/non-us/program/global-undergraduate-exchange-program-global-ugrad,Theo lịch từng năm,Có,Không áp dụng,Không áp dụng,,,
Davis UWC Scholars Program,Davis UWC Scholars Program,Quỹ / Tổ chức,Hỗ trợ need-based do ĐH đối tác cấp cho cựu học sinh UWC,Áp dụng tại >100 ĐH đối tác ở Mỹ; chỉ cho cựu học sinh 18 trường UWC; tài trợ qua trường,Không nộp trực tiếp (xét qua trường đối tác),—,—,—,Chưa công bố,Có,Chỉ cựu học sinh 18 UWC,—,Không,Mọi ngành tại ĐH đối tác,THPT (UWC) + nhập học ĐH đối tác,Không nêu,Được nhận vào ĐH đối tác; xét need-based,Hoạt động/giá trị UWC,Phù hợp triết lý UWC & học thuật tốt,Theo chính sách aid của trường,Hồ sơ nhập học + hồ sơ tài chính tại trường,Apply vào ĐH đối tác thuộc danh sách,https://www.davisuwcscholars.org/,VN đủ điều kiện nếu là cựu UWC,Có,Không áp dụng,Không áp dụng,,,
Jardine Scholarship (Undergraduate – Oxbridge),The Jardine Foundation,Quỹ / Tổ chức,"Toàn phần: học phí, college fees, trợ cấp sinh hoạt, IHS, vé máy bay","Ưu tiên bậc Cử nhân tại 8 College chỉ định (Cambridge: Downing, Magdalene, Peterhouse, Trinity; Oxford: Exeter, Oriel, The Queen’s, Trinity); quốc gia đủ điều kiện gồm Việt Nam",Đơn trực tuyến Jardine + nộp UCAS/Oxbridge,8–10,Giữa 8,Cuối 10–11,Chưa công bố,Có,Công dân/cư trú dài hạn các nước nơi Jardines hoạt động (có Việt Nam),"ASEAN/Đông Á (VN, TH, MY, ID, PH, KH, MM...), HK/TQ/ĐL",Không,Mọi ngành tại các College chỉ định,THPT (hoặc tương đương) + đỗ Oxbridge + tiêu chí lãnh đạo/quốc tịch,Không nêu,Đạt chuẩn tuyển vào Oxbridge,Hoạt động lãnh đạo/xã hội,"Lãnh đạo, cộng đồng, học thuật xuất sắc",Theo thư mời/điều kiện học bổng,Đơn trực tuyến + bài luận + tham chiếu + phỏng vấn,UCAS/Oxbridge → nộp Jardine → phỏng vấn,https://www.jardines.com/en/sustainability/our-focus-areas/shaping-social-inclusion/jardine-foundation,Xem Prospectus để biết chi tiết college & quyền lợi,Có,Không áp dụng,Không áp dụng,,,
Türkiye Scholarships (Türkiye Bursları – Undergraduate),Presidency for Turks Abroad (YTB),Chính phủ,"Toàn phần: học phí, ký túc, bảo hiểm, vé máy bay; trợ cấp 4.500 TL/tháng (bậc Cử nhân)",Bao gồm 1 năm tiếng Thổ (nếu cần); sắp xếp nhập học,Cổng nộp trực tuyến Türkiye Scholarships,1–2,Đầu 1,Cuối 2,Chưa công bố,Có,Mở cho hầu hết quốc tịch (trừ công dân Thổ Nhĩ Kỳ),—,Không,Mọi ngành theo chỉ tiêu,THPT (hoặc tương đương) + track UG có của Türkiye Bursları,Không nêu,Tiêu chí theo bậc học & hồ sơ,—,"Học thuật tốt, động lực, hoạt động cộng đồng",Gia hạn theo tiến độ & thành tích,Đơn online + bảng điểm + hộ chiếu + bài luận + phỏng vấn (nếu có),Nộp trên hệ thống → phỏng vấn → xếp chỗ,https://www.turkiyeburslari.gov.tr/whyturkiyescholarships,Mức trợ cấp: 4.500 TL cho bậc Cử nhân,Có,Không áp dụng,Không áp dụng,,,
Cambridge Commonwealth,European & International Trust Scholarships (UG),Cambridge Trust (University of Cambridge),Trường,Phần lớn là bán phần; giá trị thay đổi theo quỹ đối tác,~500 suất mới/năm; hỗ trợ 1.100–1.400 SV đang học; xét theo thành tích và đề xuất của Khoa/College,Tự động/xét từ hồ sơ Cambridge (+ form bổ sung nếu yêu cầu),9–1 (PG) / 9–10 (UG),Theo mốc Cambridge,Theo mốc Cambridge,~500 suất mới/năm,Có,SV quốc tế được nhận vào Cambridge,—,Không,THPT (hoặc tương đương) + đỗ Cambridge,Cử nhân,Không nêu,Xếp hạng hồ sơ cao theo Khoa/College,—,Học thuật xuất sắc,Theo điều kiện từng quỹ,Hồ sơ Cambridge + (có thể) biểu mẫu Trust,Ứng tuyển Cambridge → xét tự động/đơn riêng tuỳ học bổng,https://www.internationalstudents.cam.ac.uk/applying/fees-and-financial-support,Trust là nhà tài trợ lớn nhất cho SVQT ở Cambridge,Có,Chưa công bố,Chưa công bố,,
Orange Tulip Scholarship (Vietnam stream),Nuffic/Study in NL + các ĐH Hà Lan,Quỹ / Tổ chức,Miễn/giảm học phí 25%–100% tùy trường/ngành,Quản lý bởi Neso/Study in NL; danh mục & hạn nộp khác nhau theo từng trường,Đơn theo từng trường + nộp qua đầu mối OTS,1–4,Tuỳ trường,Tuỳ trường,Chưa công bố,Có,Chỉ công dân ở nước có OTS (có Việt Nam),—,Có,Chỉ các chương trình do trường tham gia OTS công bố,THPT (Việt Nam) + đỗ ĐH Hà Lan đối tác OTS,Không nêu,Được nhận có điều kiện vào chương trình ở NL,—,Học thuật tốt; điều kiện riêng theo từng trường,Theo thư mời của từng trường,Hồ sơ nhập học + bộ OTS của trường/đầu mối,https://www.studyinnl.org/finances/scholarships,Theo từng trường Hà Lan tham gia OTS,Có,Không áp dụng,Không áp dụng,,,,
Trustee Scholars Program – Boston University,Boston University,Trường,Toàn phần học phí + tiện ích học thuật (danh dự); số lượng hạn chế,Học bổng danh giá nhất của BU cho tân SV; yêu cầu bài luận riêng,Đơn riêng (cùng hồ sơ nhập học BU),9–12,Theo lịch tuyển sinh BU,Theo lịch tuyển sinh BU,Chưa công bố,Có,Tân SV quốc tế đủ điều kiện,—,Không,Mọi ngành Cử nhân tại BU,THPT (quốc tế) + đỗ Boston University,Không nêu,Hồ sơ học thuật xuất sắc + bài luận Trustee,"Hoạt động, lãnh đạo","Học thuật đỉnh cao, lãnh đạo, sáng tạo",Gia hạn hằng năm nếu đạt chuẩn,Common App + bài luận Trustee + hồ sơ hỗ trợ,Xét cạnh tranh quốc tế; phỏng vấn (nếu có),https://www.bu.edu/provost/students/undergraduate/trustee-scholars-program/,"Aid của BU: ~43% SV undergrad nhận aid (H2, CDS 2024-25)",Có,"~43% (undergrad, 2024-25)","~$50,568 (CDS hạng mục liên quan)",,,
International Outreach Award – University of Cincinnati,University of Cincinnati,Trường,USD 5.000–15.000/năm (Main Campus); USD 2.000–4.000/năm (Blue Ash/Clermont),Tự động xét/hoặc xét theo hồ sơ; có thể gia hạn,Tự động/xét từ hồ sơ nhập học,8–2,Theo mốc UC,Theo mốc UC,Chưa công bố,Có,SV quốc tế bị tính học phí non-resident,—,Không,Mọi ngành đủ điều kiện tại UC,THPT (quốc tế) + đỗ Univ. of Cincinnati,Không nêu,Đạt điều kiện tuyển sinh & thành tích học thuật,—,Học thuật tốt,Gia hạn nếu đạt điều kiện,GPA/hồ sơ + nhập học đúng hạn,Tự động áp dụng vào phần non-resident surcharge,https://admissions.uc.edu/information/international/finance/scholarship.html,Giá trị tuỳ campus,Có,Chưa công bố,Chưa công bố,,,
International Freshman Scholarships – University of Alabama,University of Alabama,Trường,"USD 6.000–28.000/năm (tự động, theo SAT/ACT & GPA)",Nhiều mức (Crimson Legends → Presidential); gia hạn theo quy định,Tự động (theo điểm & GPA),8–3,Theo mốc UA,Theo mốc UA,Chưa công bố,Có,Tân SV quốc tế main campus,—,Không,Mọi ngành đủ điều kiện,THPT (quốc tế) + đỗ Univ. of Alabama,3.5+ và/hoặc SAT/ACT theo mức,Theo thang điểm + bài kiểm tra,—,Học thuật tốt,Gia hạn hằng năm nếu đạt điều kiện,Đơn nhập học + điểm chuẩn hoá (nếu yêu cầu),Tự động xét khi nhập học,https://afford.ua.edu/scholarships/international/,Có nhiều mức học bổng tự động,Có,Chưa công bố,Chưa công bố,,,
Stamps Scholarship (network – theo trường đối tác),Stamps Scholars Program (với các ĐH đối tác),Quỹ / Tổ chức,Thường toàn phần/giàu ưu đãi (học phí + enrichment funds) – thay đổi theo trường,"Mỗi ĐH đối tác quy định giá trị, số suất, quy trình riêng; đa số tự động xét khi nộp vào trường đối tác",Tự động/xét nội bộ tại trường đối tác,8–1,Theo từng trường,Theo từng trường,Chưa công bố,Có,Ứng viên nộp vào trường đối tác Stamps,—,Không,Mọi ngành tại trường đối tác,THPT (hoặc tương đương) + đỗ các trường đối tác Stamps,Không nêu,Thành tích học thuật & lãnh đạo rất cao,Hoạt động lãnh đạo/xã hội,"Học thuật xuất sắc, sáng tạo, phục vụ",Theo trường đối tác,Hồ sơ nhập học trường + vòng phỏng vấn (tuỳ trường),Xét qua trường; không nộp trung tâm,https://www.stampsscholars.org/our-program/partner-schools/,Tham chiếu danh sách đối tác,Có,Không áp dụng,Không áp dụng,,,
Schulich Leader Scholarships (Canada – STEM),Schulich Foundation (Canada),Quỹ / Tổ chức,CAD 120.000 (Engineering) hoặc CAD 100.000 (Science/Math),100 suất/năm tại 20 ĐH đối tác Canada; **chỉ dành cho công dân Canada**,Trường THPT Canada đề cử + hồ sơ trên cổng,10–1,Theo thông báo,Theo thông báo,100,Không,Chỉ công dân Canada (không dành cho SV quốc tế),—,Có,STEM (Engineering/Science/Math),THPT (Canada) + đỗ ĐH Canada ngành STEM (trường đề cử),Không nêu,Xếp hạng hồ sơ cao; được trường đề cử,Hoạt động/khởi nghiệp/ lãnh đạo,"Doanh nhân tinh thần, lãnh đạo",Theo thư mời; suốt thời gian học,Đề cử THPT → nộp cổng → xét duyệt,https://schulichleaders.com/,Không phù hợp SV quốc tế VN (tham khảo),Có,Không áp dụng,Không áp dụng,,,,
UBC International Scholars Program – UBC,University of British Columbia,Trường,Toàn phần/need-aware (học phí + sinh hoạt) – theo diện KMILOT/Donald A. Wehrung/International Impact/Vantage One,Xét tổng hoà thành tích + nhu cầu tài chính; gia hạn tối đa 4 năm nếu đạt chuẩn,Đề cử trường + đơn trực tuyến (có chỉ định),9–11,Theo mốc UBC,Theo mốc UBC,Chưa công bố,Có,SV quốc tế nộp vào UBC,—,Không,Mọi ngành đủ điều kiện,THPT (quốc tế) + đỗ UBC (need/merit),Không nêu,Đạt điều kiện tuyển sinh UBC + chứng minh nhu cầu tài chính,Hoạt động cộng đồng/lãnh đạo,Học thuật xuất sắc & tác động cộng đồng,Gia hạn tới 4 năm nếu đạt chuẩn UBC & còn nhu cầu,Đơn nhập học + bộ học bổng + minh chứng tài chính,Được trường THPT đề cử (tuỳ diện) → nộp cổng → xét chọn,https://you.ubc.ca/financial-planning/scholarships-awards-international-students/international-scholars/,Ô dù 4 chương trình,Có,Chưa công bố,Chưa công bố,,,
Melbourne International Undergraduate Scholarship – University of Melbourne,University of Melbourne,Trường,Ba mức: AUD 10.000 (năm 1) hoặc miễn 50%/100% học phí cho toàn khoá (3 năm),Tự động xét theo thành tích tuyển sinh quốc tế; ~1.000 suất/năm (theo nguồn tổng hợp); gia hạn theo điều kiện,Tự động xét,1–5,Theo mốc tuyển sinh,Theo mốc tuyển sinh,~≥110 (theo trang) / ~1.000 (nguồn tổng hợp),Có,SV quốc tế nộp vào UoM,—,Không,Mọi ngành Cử nhân đủ điều kiện,THPT (quốc tế) + đỗ University of Melbourne,Không nêu,Thành tích học thuật đầu vào cao,—,Thành tích học thuật nổi trội,Theo điều kiện từng mức (duy trì thành tích),Hồ sơ nhập học UoM (không cần đơn riêng),Tự động xét & thông báo qua offer/account,https://scholarships.unimelb.edu.au/awards/melbourne-international-undergraduate-scholarship,Giá trị tuỳ mức,Có,Chưa công bố,Chưa công bố,,,
KAIST International Undergraduate Scholarship – KAIST,KAIST (Hàn Quốc),Trường,Miễn 100% học phí (8 học kỳ) + trợ cấp sinh hoạt ~KRW 300.000–350.000/tháng + bảo hiểm y tế,Gia hạn theo GPA/tiến độ; có thể kèm hỗ trợ ký túc/tuyến,Đơn học bổng cùng hồ sơ nhập học,9–1 (2 kỳ tuyển),Theo đợt tuyển sinh,Theo đợt tuyển sinh,Chưa công bố,Có,SV quốc tế nộp vào KAIST,—,Không,Mọi ngành Cử nhân tại KAIST,THPT (quốc tế) + đỗ KAIST,Không nêu,Đạt điều kiện tuyển sinh KAIST; duy trì GPA theo quy định,—,"Học thuật tốt, tiềm năng nghiên cứu/kỹ thuật",Gia hạn nếu duy trì GPA/tiến độ,Đơn nhập học KAIST (tick học bổng) + hồ sơ chuẩn,Xét cùng hồ sơ; thông báo trong kết quả nhập học,https://www.kaist.ac.kr/en/html/admissions/overview.html,Mức trợ cấp có thể thay đổi theo năm,Có,Chưa công bố,Chưa công bố,,,
HKUST Admissions Scholarships for International Students – HKUST,The Hong Kong University of Science and Technology,Trường,Từ một lần đến **toàn phần học phí + trợ cấp sinh hoạt HKD 60.000/năm**; có gia hạn,Tự động xét dựa trên thành tích; nhiều thang theo bằng cấp đầu vào (IB/A-level/SAT…),Tự động xét,9–6,Theo mốc HKUST,Theo mốc HKUST,Chưa công bố,Có,SV quốc tế (non-local),—,Không,Mọi ngành Cử nhân,THPT (quốc tế) + đỗ HKUST,Không nêu,Thành tích học thuật đầu vào rất cao,—,Học thuật xuất sắc; có thang hỗ trợ khác nhau,Gia hạn theo quy định (tiến độ & điểm),Hồ sơ nhập học HKUST (không cần đơn riêng),Tự động xét; thông báo trong offer,https://join.hkust.edu.hk/intlscholarships,HKUST nêu rõ mức tối đa gồm trợ cấp sinh hoạt,Có,Chưa công bố,Chưa công bố,,,
Reach Oxford Scholarship – University of Oxford,University of Oxford,Trường,Học phí toàn phần + trợ cấp sinh hoạt hằng năm + 1 vé máy bay khứ hồi/năm,Dành cho SV từ quốc gia thu nhập thấp; cực kỳ cạnh tranh,Đơn riêng sau khi nộp UCAS,10–2,Theo chu kỳ tuyển sinh,12:00 trưa (UK) ~04/02/2026,Một số suất/năm,Có,Công dân các nước thu nhập thấp theo danh sách của Oxford,—,Không,Mọi ngành cử nhân đủ điều kiện,THPT (quốc tế) + đỗ Oxford + đến từ quốc gia thu nhập thấp/trung bình,Không nêu,Thành tích học thuật xuất sắc; hoàn cảnh tài chính khó khăn,—,"Học thuật cao, tiềm năng lãnh đạo, động lực",Gia hạn hằng năm nếu đạt yêu cầu tiến độ,UCAS + mẫu học bổng Reach Oxford + tài liệu chứng minh tài chính,"Được đề cử/đăng ký, xét chọn và thông báo theo lịch",https://www.ox.ac.uk/admissions/undergraduate/fees-and-funding/oxford-support/reach-oxford-scholarship,Hạn năm 2026 hiển thị trên trang Oxford Support,Có,Chưa công bố,Chưa công bố,,,
Vice-Chancellor’s International Scholarships Scheme – University of Sydney,The University of Sydney,Trường,"Tối đa **A$60.000** (từ 2026), các mức khác đến **A$40.000**",Xét dựa trên thành tích học thuật khi nhập học,Đơn trực tuyến (ngắn) sau khi có offer,Quanh năm (theo đợt),—,Theo thông báo từng đợt,Chưa công bố,Có,SV quốc tế nhận offer vô điều kiện,—,Không,Tất cả ngành Cử nhân coursework,THPT (quốc tế) + đỗ University of Sydney,Không nêu,Điểm đầu vào xuất sắc,—,Học thuật xuất sắc; có thể xét thêm hoạt động,Theo thư mời & duy trì tiến độ,Đơn online ngắn + offer vô điều kiện,Nộp hồ sơ → nhận offer → nộp học bổng → kết quả,https://www.sydney.edu.au/scholarships/e/vice-chancellor-international-scholarships-scheme.html,Trang chính thức thông báo mức **A$60k** từ kỳ 2026,Có,Chưa công bố,Chưa công bố,,,
International Scientia Coursework Scholarship – UNSW Sydney,UNSW Sydney,Trường,**Toàn bộ học phí** hoặc **A$20.000/năm** vào học phí,Học bổng flagship cho SV quốc tế thành tích cao,Đơn trực tuyến riêng,3–10,Theo thông báo học kỳ,Theo thông báo học kỳ,Chưa công bố,Có,SV quốc tế (self-funded) bắt đầu học tại UNSW,—,Không,Mọi ngành Cử nhân coursework,THPT (quốc tế) + đỗ UNSW,Không nêu,"Học thuật, lãnh đạo, ngoại khoá nổi bật",—,Học thuật & lãnh đạo; tham gia ngoại khoá,Theo quy định UNSW,Đơn online + bảng điểm + bài luận (nếu có),"Nộp đơn học bổng riêng, xét và thông báo",https://www.unsw.edu.au/study/how-to-apply/scholarships,Trang tổng & trang học bổng nêu 2 mức: full tuition hoặc A$20k/năm,Có,Chưa công bố,Chưa công bố,,,
International Student Excellence Scholarship – University of Auckland,University of Auckland,Trường,"Tối đa **NZ$10.000** (một lần, trừ vào học phí)","Dành cho SV quốc tế mới, bậc UG/PGT; cạnh tranh",Đơn trực tuyến,1–11,Theo đợt mở (xem quy chế),Theo đợt (thường 10–11),~Nhiều suất/năm,Có,SV quốc tế năm nhất (direct-entry),—,Không,Mọi ngành đủ điều kiện,THPT (quốc tế) + đỗ University of Auckland,Không nêu,Thành tích học thuật cao,—,"Học thuật mạnh, động lực tốt",Không gia hạn (one-off),Đơn online + hồ sơ nhập học,Nộp đơn → xét chọn → thông báo,https://www.auckland.ac.nz/en/study/scholarships-and-awards/find-a-scholarship/university-of-auckland-international-student-excellence-scholarship-844-all.html,"Quy chế PDF ghi rõ up to NZ$10,000",Có,Chưa công bố,Chưa công bố,,,
NUS International Undergraduate Scholarship – National University of Singapore,National University of Singapore (NUS),Trường,Miễn học phí đã trợ giá (sau Tuition Grant) + phụ cấp (mức do NUS quy định),Xét tự động từ hồ sơ nhập học; dành cho PR Singapore & SV quốc tế,Tự động xét (không cần đơn riêng),1–7,Theo lịch NUS,Thông báo tới **31/08**,Chưa công bố,Có,Singapore PR / SV quốc tế (trừ công dân Singapore),—,Có giới hạn nhẹ,Hầu hết ngành Cử nhân tại NUS,THPT (quốc tế) + đỗ NUS,Không nêu,Thành tích học thuật rất cao; phỏng vấn (nếu shortlist),—,"Học thuật, lãnh đạo/CCA",Gia hạn mỗi kỳ nếu đạt GPA/tiến độ,Hồ sơ nhập học NUS; được mời phỏng vấn nếu shortlist,Tự động xét → phỏng vấn → kết quả,https://nus.edu.sg/oam/scholarships/scholarships-for-freshmen-singapore-permanent-residents/nus-international-undergraduate-scholarship,Trang NUS liệt kê rõ học bổng quốc tế,Có,Chưa công bố,Chưa công bố,,,
Undergraduate Global Excellence Scholarship – University of Warwick,University of Warwick,Trường,Nhiều mức (từ **một phần** đến **toàn bộ học phí**; có học bổng full-fee ~20 suất/năm theo FAQ),Dành cho SV quốc tế self-funded; nộp đơn học bổng riêng,Đơn trực tuyến riêng,1–2,Theo mốc UCAS,~Cuối 2,Chưa công bố,Có,SV quốc tế tự chi trả học phí (không MBChB),—,Không,Mọi ngành UG (trừ MBChB; có Foundation),THPT (quốc tế) + đỗ University of Warwick,Không nêu,Học thuật xuất sắc; bài luận/động lực,—,"Học thuật, tác động & tiềm năng",Theo thư mời & duy trì tiến độ,Đơn online + bài luận + hồ sơ hỗ trợ,Nộp UCAS → nộp học bổng trước hạn,https://warwick.ac.uk/study/scholarships-and-bursaries/warwick-global-excellence-scholarship-2026/,FAQ nêu ~20 suất full tuition mỗi năm,Có,Chưa công bố,Chưa công bố,,,
