Scholarship_Name,Tổ chức cấp học bổng,Scholarship_Type,Mức tài trợ,Chi tiết tài trợ,Hình thức mở đơn,Tháng mở đơn (thường niên),Ngày bắt đầu nhận hồ sơ,Ngày kết thúc nộp hồ sơ,Số lượng suất (nếu có),Dành cho sinh viên Việt Nam,,Object limitation,List of restricted subjects (if any),Department restrictions,List of specific industries/groups,Required qualifications,Required qualifications,Minimum GPA,Ranking requirements / field of study,Required experience,Competencies & Achievements (requirements.competencies),Scholarship renewal conditions,Required documents,Required documents,Application process,Liên kết học bổng (URL),Notes ,Annual (Yes/No/Unknown),% of students in the whole school receive financial aid,Average school-wide support level,,,
Davis UWC Scholars Program,Davis UWC Scholars Program,fund / organization,"Full scholarship: tuition, college fees, stipend, IHS, airfare",Applicable at >100 partner universities in the US; only for alumni of 18 UWC schools; funded through school,No direct submission (reviewed through partner schools),—,—,—,Not published yet,yes,,Only 18 UWC alumni,—,no,All majors at partner universities,High School (UWC) + admission to partner university,High School (UWC) + admission to partner university,Not stated,Admitted to a partner university; need-based,UWC Activities/Values,Fit with UWC philosophy & good academics,According to the school's aid policy,Admission documents + financial documents at school,Admission documents + financial documents at school,Apply to partner universities on the list,https://www.davisuwcscholars.org/,VN qualifies if it is a former UWC,yes,Not applicable,Not applicable,,,
Jardine Scholarship (Undergraduate – Oxbridge),The Jardine Foundation,government,"Full scholarship: tuition, dormitory, insurance, airfare; allowance 4,500 TL/month (undergraduate)","Priority is given to Bachelor's degrees at 8 designated Colleges (Cambridge: Downing, Magdalene, Peterhouse, Trinity; Oxford: Exeter, Oriel, The Queen's, Trinity); eligible countries include Vietnam",Jardine online application + UCAS/Oxbridge submission,8–10,Between 8,End of 10–11,Not published yet,yes,,Citizens/long-term residents of countries where Jardines operates (including Vietnam),"ASEAN/East Asia (VN, TH, MY, ID, PH, KH, MM...), HK/TQ/DL",no,All majors at designated colleges,High school (or equivalent) + Oxbridge pass + leadership/nationality criteria,High school (or equivalent) + Oxbridge pass + leadership/nationality criteria,Not stated,Oxbridge admission criteria,Leadership/Social Activities,"Leadership, community, academic excellence",According to the invitation letter/scholarship conditions,Online application + essay + references + interview,Online application + essay + references + interview,UCAS/Oxbridge → apply to Jardine → interview,https://www.jardines.com/en/sustainability/our-focus-areas/shaping-social-inclusion/jardine-foundation,See Prospectus for college details & benefits,yes,Not applicable,Not applicable,,,
Türkiye Scholarships (Türkiye Bursları – Undergraduate),Presidency for Turks Abroad (YTB),fund / organization,University,Includes 1 year of Turkish (if required); admission arrangements,Türkiye Scholarships Online Application Portal,1–2,Head 1,End 2,Not published yet,yes,,Open to most nationalities (except Turkish citizens),—,no,All industries according to targets,High school (or equivalent) + UG track from Türkiye Bursları,High school (or equivalent) + UG track from Türkiye Bursları,Not stated,Criteria by level of education & profile,—,"Good academics, motivation, community activities",Renewal based on progress & performance,Online application + transcript + passport + essay + interview (if any),Online application + transcript + passport + essay + interview (if any),Submit on the system → interview → placement,https://www.turkiyeburslari.gov.tr/whyturkiyescholarships,"Subsidy level: 4,500 TL for Bachelor's degree",yes,Not applicable,Not applicable,,,
Cambridge Commonwealth,European & International Trust Scholarships (UG),fund / organization,Partial tuition waivers (25%–100%) depending on university or major,Mostly semi-divided; value varies by partner fund,"~500 new scholarships/year; support 1,100–1,400 current students; based on achievements and recommendations of the Faculty/College",Automatic/based on Cambridge profile (+ additional form if required),9–1 (PG) / 9–10 (UG),According to Cambridge landmark,According to Cambridge landmark,~500 new positions/year,,yes,International students admitted to Cambridge,—,,High school (or equivalent) + Cambridge pass,High school (or equivalent) + Cambridge pass,Bachelor,Not stated,High profile ranking by Faculty/College,—,Academic excellence,According to the conditions of each fund,According to the conditions of each fund,Cambridge Profile + (possibly) Trust form,Ứng tuyển Cambridge → xét tự động/đơn riêng tuỳ học bổng,https://www.internationalstudents.cam.ac.uk/applying/fees-and-financial-support,The Trust is the largest funder of international students in Cambridge.,yes,Not published yet,Chưa công bố,,
Orange Tulip Scholarship (Vietnam stream),Nuffic/Study in NL + các ĐH Hà Lan,university,Full tuition plus academic enrichment benefits; limited number available,Managed by Neso/Study in NL; categories & deadlines vary by school,Application by school + submit through OTS contact,1–4,Depends on the school,Depends on the school,Not published yet,yes,,Only citizens of countries with OTS (including Vietnam),—,yes,Only programs published by schools participating in OTS,High school (Vietnam) + passed OTS partner university in the Netherlands,High school (Vietnam) + passed OTS partner university in the Netherlands,Not stated,Conditional admission to the program in NL,—,Good academics; specific requirements vary by school,According to the invitation of each school,Admission documents + OTS set of school/contact person,Admission documents + OTS set of school/contact person,https://www.studyinnl.org/finances/scholarships,Theo từng trường Hà Lan tham gia OTS,yes,Not applicable,Not applicable, ,,,
Trustee Scholars Program – Boston University,Boston University,university,"USD 5,000–15,000 per year (Main Campus); USD 2,000–4,000 per year (Blue Ash/Clermont)",BU's most prestigious scholarship for new students; separate essay required,Separate application (with BU admission application),9–12,According to BU admissions schedule,According to BU admissions schedule,Not published yet,yes,,Eligible new international students,—,no,All Bachelor's Degrees at BU,High school (international) + passed Boston University,High school (international) + passed Boston University,Not stated,Excellent academic record + Trustee essay,"Activities, leadership","Top academics, leadership, innovation",Annual renewal if qualified,Common App + Trustee essay + supporting documents,Common App + Trustee essay + supporting documents,Consider international competition; interview (if any),https://www.bu.edu/provost/students/undergraduate/trustee-scholars-program/,"BU Aid: ~43% of undergraduates receive aid (H2, CDS 2024-25)",yes,"~43% (undergrad, 2024-25)","~$50,568 (CDS related items)",,,
International Outreach Award – University of Cincinnati,University of Cincinnati,university,"USD 6,000–28,000 per year (automatic, based on SAT/ACT and GPA)",Automatic review/or review based on profile; renewable,Automatic/based on admission records,8–2,According to UC milestone,According to UC milestone,Not published yet,yes,,International students are charged non-resident tuition fees.,—,no,All eligible majors at UC,High school (international) + passed Univ. of Cincinnati,High school (international) + passed Univ. of Cincinnati,Not stated,Meet admission requirements & academic achievement,—,Good academics,Renewal if conditions are met,GPA/profile + on-time admission,GPA/profile + on-time admission,Automatically applied to non-resident surcharge,https://admissions.uc.edu/information/international/finance/scholarship.html,Value depends on campus,yes,Not published yet,Not published yet,,,
International Freshman Scholarships – University of Alabama,University of Alabama,fund / organization,"Usually full or highly generous (tuition plus enrichment funds), varies by university",Multiple levels (Crimson Legends → Presidential); renewable as required,Automatic (by score & GPA),8–3,According to UA milestone,According to UA milestone,Not published yet,yes,,New international students main campus,—,no,All industries are eligible,High school (international) + passed Univ. of Alabama,High school (international) + passed Univ. of Alabama,3.5+ and/or SAT/ACT at appropriate level,By scale + test,—,Good academics,Annual renewal if conditions are met,Application form + standardized scores (if required),Application form + standardized scores (if required),Automatic review upon admission,https://afford.ua.edu/scholarships/international/,There are many levels of automatic scholarships.,yes,Not published yet,Not published yet,,,
Stamps Scholarship (network – theo trường đối tác),Stamps Scholars Program (với các ĐH đối tác),fund / organization,"CAD 120,000 (Engineering) or CAD 100,000 (Science/Math)","Each partner university determines the value, number of places, and its own process; most are automatically considered when applying to the partner school.",Automatic/internal review at partner school,8–1,By school,By school,Not published yet,yes,,Applicants applying to Stamps partner schools,—,no,All majors at partner schools,High school (or equivalent) + passing Stamps partner schools,High school (or equivalent) + passing Stamps partner schools,Not stated,Very high academic and leadership achievements,Leadership/Social Activities,"Academic excellence, innovation, service",By partner school,School admission documents + interview round (depending on school),School admission documents + interview round (depending on school),Reviewed through school; not submitted to center,https://www.stampsscholars.org/our-program/partner-schools/,Refer to the partner list,yes,Not applicable,Not applicable,,,
Schulich Leader Scholarships (Canada – STEM),Schulich Foundation (Canada),university,Full or need-aware (tuition plus living) – KMILOT/Donald A. Wehrung/International Impact/Vantage One categories,100 scholarships/year at 20 Canadian partner universities; **for Canadian citizens only**,Canadian High School Nomination + Portal Profile,10–1,According to the announcement,According to the announcement,100,no,,Canadian citizens only (not open to international students),—,yes,STEM (Engineering/Science/Math),High school (Canada) + passed Canadian university STEM major (nominating school),High school (Canada) + passed Canadian university STEM major (nominating school),Not stated,High profile ranking; school recommended,Activities/startups/leadership,"Spiritual entrepreneur, leader",By invitation; throughout the study period,High school nomination → submit to portal → review,High school nomination → submit to portal → review,https://schulichleaders.com/,Không phù hợp SV quốc tế VN (tham khảo),yes,Not applicable,Not applicable, ,,,
UBC International Scholars Program – UBC,University of British Columbia,university,"Three levels: AUD 10,000 (first year) or 50%/100% tuition waiver for full program (3 years)",Consider overall performance + financial need; extendable up to 4 years if qualified,School nomination + online application (with designation),9–11,According to UBC milestone,According to UBC milestone,Not published yet,yes,,International students applying to UBC,—,no,All industries are eligible,High school (international) + UBC (need/merit),High school (international) + UBC (need/merit),Not stated,Meet UBC admission requirements + demonstrate financial need,Community/Leadership Activities,Academic Excellence & Community Impact,Extend up to 4 years if UBC standards are met & still needed,Application form + scholarship package + financial proof,Application form + scholarship package + financial proof,Nominated by high school (depending on the situation) → submit to the portal → review and selection,https://you.ubc.ca/financial-planning/scholarships-awards-international-students/international-scholars/,4-program umbrella,yes,Not published yet,Not published yet,,,
Melbourne International Undergraduate Scholarship – University of Melbourne,University of Melbourne,university,"100% tuition waiver (8 semesters) plus living stipend ~KRW 300,000–350,000/month plus health insurance","Automatically considered based on international admission achievements; ~1,000 places/year (according to aggregated sources); renewable according to conditions",Automatic review,1–5,According to enrollment milestones,According to enrollment milestones,"~≥110 (by page) / ~1,000 (aggregate source)",yes,,International students applying to UoM,—,no,All Bachelor's degrees are eligible,High school (international) + University of Melbourne entrance exam,High school (international) + University of Melbourne entrance exam,Not stated,High academic achievement,—,Outstanding academic achievements,According to the conditions of each level (maintain achievements),UoM Admissions Application (no separate application required),UoM Admissions Application (no separate application required),Automatically review & notify via offer/account,https://scholarships.unimelb.edu.au/awards/melbourne-international-undergraduate-scholarship,Value depends on level,yes,Not published yet,Not published yet,,,
KAIST International Undergraduate Scholarship – KAIST,KAIST (Hàn Quốc),university,"From one-time to full tuition and living stipend HKD 60,000/year; renewable",Renewal based on GPA/progress; may include dormitory/course support,Scholarship application and admission documents,9–1 (2 rounds),According to the enrollment period,According to the enrollment period,Not published yet,yes,,International students applying to KAIST,—,no,All Bachelor's Degrees at KAIST,High school (international) + passed KAIST,High school (international) + passed KAIST,Not stated,Meet KAIST admission requirements; maintain required GPA,—,"Good academics, research/technical potential",Renewal if GPA/progress maintained,KAIST application form (scholarship tick) + standard documents,KAIST application form (scholarship tick) + standard documents,Consider the same profile; notify in the admission results,https://www.kaist.ac.kr/en/html/admissions/overview.html,Subsidy levels may vary from year to year.,yes,Not published yet,Not published yet,,,
HKUST Admissions Scholarships for International Students – HKUST,The Hong Kong University of Science and Technology,university,Full tuition plus annual living stipend plus one round-trip airfare per year,Automatic assessment based on achievements; multiple scales according to entry qualifications (IB/A-level/SAT…),Automatic review,9–6,According to HKUST,According to HKUST,Not published yet,yes,,International students (non-local),—,no,All Bachelor's Degrees,High school (international) + passed HKUST,High school (international) + passed HKUST,Not stated,Very high academic achievement at entry,—,Academic excellence; various support levels available,Extension as per regulations (progress & points),HKUST Admission Documents (no separate application required),HKUST Admission Documents (no separate application required),Automatic review; notification in offer,https://join.hkust.edu.hk/intlscholarships,HKUST specifies the maximum amount including living allowance,yes,Not published yet,Not published yet,,,
Reach Oxford Scholarship – University of Oxford,University of Oxford,university,"Up to A$60,000 (from 2026), other tiers up to A$40,000",For students from low-income countries; extremely competitive,Separate application after UCAS submission,10–2,According to the enrollment cycle,12:00 PM (UK) ~04/02/2026,Some seats/year,yes,,Citizens of low-income countries according to the Oxford list,—,no,All undergraduate majors are eligible,High school (international) + Oxford pass + from low/middle income country,High school (international) + Oxford pass + from low/middle income country,Not stated,Excellent academic performance; difficult financial circumstances,—,"High academics, leadership potential, motivation",Annual renewal if progress requirements are met,UCAS + Reach Oxford scholarship form + financial proof documents,UCAS + Reach Oxford scholarship form + financial proof documents,"Nominated/registered, selected and notified on schedule",https://www.ox.ac.uk/admissions/undergraduate/fees-and-funding/oxford-support/reach-oxford-scholarship,Deadline 2026 shown on Oxford Support page,yes,Not published yet,Not published yet,,,
Vice-Chancellor’s International Scholarships Scheme – University of Sydney,The University of Sydney,university,"Full tuition or A$20,000 per year toward tuition fees",Based on academic achievement upon admission,Online application (short) after offer,Year-round (in batches),—,According to each announcement,Not published yet,yes,,International students receive unconditional offers,—,no,All Bachelor's degree coursework,High school (international) + University of Sydney entrance exam,High school (international) + University of Sydney entrance exam,Not stated,Excellent entry point,—,Academic excellence; additional activities may be considered,Follow the invitation & stay on track,Short online application + unconditional offer,Short online application + unconditional offer,Apply → receive offer → apply for scholarship → result,https://www.sydney.edu.au/scholarships/e/vice-chancellor-international-scholarships-scheme.html,Official site announces **A$60k** from 2026,yes,Not published yet,Not published yet,,,
International Scientia Coursework Scholarship – UNSW Sydney,UNSW Sydney,university,"Up to NZ$10,000 (one-time, applied to tuition)",Flagship scholarships for high-achieving international students,Private online application,3–10,According to semester announcement,According to semester announcement,Not published yet,yes,,International students (self-funded) starting studies at UNSW,—,no,All Bachelor's degree coursework,High school (international) + passed UNSW,High school (international) + passed UNSW,Not stated,"Outstanding academics, leadership, and extracurriculars",—,Academics & Leadership; Extracurricular Activities,According to UNSW regulations,Online application + transcript + essay (if any),Online application + transcript + essay (if any),"Apply for separate scholarships, review and notification",https://www.unsw.edu.au/study/how-to-apply/scholarships,The total page and scholarship page list 2 levels: full tuition or A$20k/year,yes,Not published yet,Not published yet,,,
International Student Excellence Scholarship – University of Auckland,University of Auckland,university,Tuition fully subsidized (after Tuition Grant) plus allowance (per NUS guidelines),"For new international students, UG/PGT level; competitive",Online application,1–11,By opening (see rules),Batch (usually 10–11),~Many seats/year,yes,,First-year international students (direct-entry),—,no,All industries are eligible,High school (international) + University of Auckland entrance exam,High school (international) + University of Auckland entrance exam,Not stated,High academic achievement,—,"Strong academics, good motivation",No renewal (one-off),Online application + admission documents,Online application + admission documents,Apply → select → notify,https://www.auckland.ac.nz/en/study/scholarships-and-awards/find-a-scholarship/university-of-auckland-international-student-excellence-scholarship-844-all.html,"PDF regulations state up to NZ$10,000",yes,Not published yet,Not published yet,,,
NUS International Undergraduate Scholarship – National University of Singapore,National University of Singapore (NUS),university,Various levels (from partial to full tuition; about 20 full-fee scholarships per year per FAQ),Automatic consideration from admission records; for Singapore PR & international students,Automatic review (no separate application required),1–7,According to NUS calendar,Notice to **August 31**,Not published yet,yes,,Singapore PR / International Student (except Singapore Citizens),—,Has slight limitations,Most Bachelor's degrees at NUS,High school (international) + passed NUS,High school (international) + passed NUS,Not stated,Very high academic achievement; interview (if shortlisted),—,"Academics, Leadership/CCA",Renewed each term if GPA/progress is met,NUS Admissions Profile; invited for interview if shortlisted,NUS Admissions Profile; invited for interview if shortlisted,Automatic review → interview → results,https://nus.edu.sg/oam/scholarships/scholarships-for-freshmen-singapore-permanent-residents/nus-international-undergraduate-scholarship,NUS website clearly lists international scholarships,yes,Not published yet,Not published yet,,,
Undergraduate Global Excellence Scholarship – University of Warwick,University of Warwick,university,25% tuition reduction per semester (per UQ website),For self-funded international students; apply for scholarships separately,Private online application,1–2,According to UCAS milestone,~End 2,Not published yet,yes,,International students pay their own tuition (no MBChB),—,no,All UG disciplines (except MBChB; with Foundation),High school (international) + University of Warwick,High school (international) + University of Warwick,Not stated,Academic excellence; essay/motivation,—,"Academics, Impact & Potential",Follow the invitation & stay on track,Online application + essay + supporting documents,Online application + essay + supporting documents,Apply UCAS → apply for scholarship before deadline,https://warwick.ac.uk/study/scholarships-and-bursaries/warwick-global-excellence-scholarship-2026/,FAQ states ~20 full tuition scholarships per year,yes,Not published yet,Not published yet,,,
UQ International Excellence Scholarship – University of Queensland,The University of Queensland,university,Partial to full tuition; may include housing/living allowance (for certain categories),For high-achieving international students entering 2026 (S1/S2),Short online application (or review via offer),8–2,According to UQ mark,According to UQ mark,Not published yet,yes,,International students with qualified offers,—,no,All coursework disciplines are eligible,High school (international) + University of Queensland,High school (international) + University of Queensland,Not stated,Competitive entry score; English required,—,High academic,Extension based on progress/GPA,Online order + offer,Online order + offer,Review & notify in batches,https://scholarships.uq.edu.au/scholarship/uq-international-excellence-scholarship,UQ page & introduction states **25%**,yes,Not published yet,Not published yet,,,
Entrance Scholarships for International Students – HKU,The University of Hong Kong (HKU),university,"Contribution to first-year tuition (amount by region, e.g. £6,000 for South Asia)",Automatically review; publish with offer,Automatic (no prescription required),9–6,According to HKU milestone,According to HKU milestone,Not published yet,yes,,International (non-local) students according to International Qualifications,—,no,All Bachelor's Degrees,High school (international) + HKU admission,High school (international) + HKU admission,Not stated,Excellent entry score; considers non-academic achievements,—,Academics & Activities,Extension as prescribed,HKU Admissions Documents (no separate application required),HKU Admissions Documents (no separate application required),Automatic review; published with offer,https://admissions.hku.hk/fees-and-scholarships/scholarships,HKU confirms no application required; may include full tuition + allowance,yes,Not published yet,Not published yet,,,
International Undergraduate Excellence Award – University of Nottingham,University of Nottingham,university,"£5,000 or £10,000 per year (tuition waiver)",You need an offer before applying for a scholarship.,Private online application,3–5,According to regional announcement,According to regional announcement,Not published yet,yes,,International students (by region/batch),List by region,yes,All UG sectors are eligible,High school (international) + University of Nottingham,High school (international) + University of Nottingham,Not stated,Academic excellence; passion for the subject,—,Academics & Motivation,No renewal (year 1),Online application after offer,Online application after offer,Submit on NottinghamHub,https://www.nottingham.ac.uk/studywithus/international-applicants/scholarships-funding-finance/undergraduate-scholarships.aspx,International Undergraduate Excellence total page,yes,Not published yet,Not published yet,,,
Inspiring Excellence Undergraduate Scholarship – Durham University,Durham University,university,Covers international tuition difference (significant reduction),Applicable for intake 2026/27; there are 2 application rounds (Jan & May),Private online application,10–5,"October 1, 2025","January 30, 2026 (Round 1) & May 15, 2026 (Round 2)",Not published yet,yes,,International students entering UG 2026/27,—,no,Most UG sectors (with exceptions),High school (international) + Durham pass,High school (international) + Durham pass,Not stated,High academics; essay/goal,—,"Academics, impact, leadership potential",Extension as prescribed,Application + evidence + essay,Application + evidence + essay,"Round 1/2, announced Apr/Jun",https://www.durham.ac.uk/study/scholarships/international/durham-inspiring-excellence-scholarships/undergraduate/,PDF guide detailing 2025–2026 milestones,yes,Not published yet,Not published yet,,,
UdeM Exemption Scholarship for International Students – Université de Montréal,Université de Montréal,university,"One-year: C$3,000 (non-renewable); Major Entrance: C$12,000–48,000 (C$3,000–12,000/year, up to 4 years)",**Automatic** consideration when there is an offer; value depends on level/industry,Automatic (no prescription required),Year-round,According to admission milestone,According to admission milestone,Not published yet,yes,,International students (except for some other exemptions),—,no,Most of the formal industry,High school (international) + passed UdeM,High school (international) + passed UdeM,Not stated,Meet admission requirements,—,Academically qualified,Extension as prescribed,UdeM Admissions Profile,UdeM Admissions Profile,Automatic review & notification,https://admission.umontreal.ca/en/scholarship-for-international-students/,UdeM page confirms automatic comments,yes,Not published yet,Not published yet,,,
Entrance Scholarships – McGill University,McGill University,university,"C$10,000 (20 awards per year)",Merit-based; Major requires separate application; One-year automatic,Automatic (One-year) / Single (Major),10–1,According to McGill landmark,According to McGill landmark,Many portions,yes,,"Full-time, first-degree freshman",—,no,All UG disciplines are eligible,High school (international) + passed McGill,High school (international) + passed McGill,Not stated,High academic standards; Major considers leadership,—,Academics & Leadership (for Major),Major: extendable up to 4 years if qualified,Apply for Major through Applicant Portal; One-year automatic,Apply for Major through Applicant Portal; One-year automatic,Review & notification by schedule,https://www.mcgill.ca/studentaid/scholarships-aid/future-undergrads/entrance-scholarships,McGill site highlights value,yes,Not published yet,Not published yet,,,
International Student Entrance Scholarship – University of Waterloo,University of Waterloo,university,"C$15,000 (first year; non-renewable) plus academic privileges",Automatically considered for first-year international students with entrance score ≥90%,Automatic (no prescription required),9–3,According to Waterloo landmark,According to Waterloo landmark,20,yes,,First-year international students (student visa),—,no,All industries,High school (international) + passed University of Waterloo,High school (international) + passed University of Waterloo,Not stated,Average entrance score ≥90%,—,Academic excellence,No renewal (one-off),Waterloo Admissions Profile,Waterloo Admissions Profile,Automatically review; notify if awarded,https://uwaterloo.ca/undergraduate-entrance-awards/awards/university-waterloo-international-student-entrance,The Waterloo page describes in detail,yes,Not published yet,Not published yet,,,
President’s Scholars of Excellence Program – University of Toronto,University of Toronto,university,100% tuition plus SSAF up to 4 years (single undergraduate),Approximately **~150** students/year; automatically considered,Automatic (no prescription required),9–1,According to the U of T mark,According to the U of T mark,~150,yes,,Direct-entry first-year students (international & domestic),—,no,All industries/direct-entry,High school (international) + University of Toronto admission,High school (international) + University of Toronto admission,Not stated,Excellent entry point,—,Outstanding academics; research/mentor opportunities (depending on department),No renewal,U of T Admissions,U of T Admissions,Automatic review & notification,https://future.utoronto.ca/presidents-scholars-excellence-program,"Official site states C$15,000 & ~150 seats",yes,Not published yet,Not published yet,,,
Sydney International Undergraduate Academic Excellence Scholarship – University of Sydney,The University of Sydney,university,"Tuition support up to NT$40,000 per semester plus NT$15,000 monthly living stipend (undergraduate)",For outstanding international students; must receive offers & accept on time,Online application (short) after offer,Year-round (in batches),—,In batches,Not published yet,yes,,"International student, single UG degree",—,Has slight limitations,All single UG industries (with rare exceptions),High school (international) + University of Sydney entrance exam,High school (international) + University of Sydney entrance exam,Not stated,Outstanding academics (top applicants),—,Academic excellence,Extend if progress/points are met,Online application + timely offer acceptance,Online application + timely offer acceptance,Review & notify in batches,https://www.sydney.edu.au/scholarships/e/sydney-international-undergraduate-academic-excellence-scholarship.html,Official site states 100% tuition + SSAF,yes,Not published yet,Not published yet,,,
Taiwan Scholarship Program (MOE),Ministry of Education (Taiwan),government,"HK$40,000 per year (local) or HK$80,000 per year (non-local)",Maximum duration: 4 years (UG); total not more than 5 years,Application via Office/Embassy/TECO,2–4,February 1,April 30,Not published yet,yes,,Citizens of eligible countries (including Vietnam),List of eligible countries,no,All majors at Taiwan universities are eligible,High school (or equivalent) + admission to Taiwanese university (according to nationality list),High school (or equivalent) + admission to Taiwanese university (according to nationality list),Not stated,Academic/language requirements according to the host school,—,Good academic standing; commitment to completing the program,Annual renewal based on results,Application package according to MOE instructions,Application package according to MOE instructions,Submit at TECO/Embassy by country → selection,https://depart.moe.edu.tw/SFEN/cp.aspx?n=485A66D492D051A4&s=4A8419DA9A7BB19B,MOE payment period **1/2–30/4** & support level,yes,Not applicable,Not applicable,,,
HKSAR Government Scholarship Fund (Outstanding Performance),Education Bureau (HKSAR Government),government,"€1,000 per month stipend plus partial fee waiver",Renewable annually if qualified; GSF (multiple categories),Nominated/reviewed by schools in HK,9–4,By school year,By school year,~Thousands (total fund),yes,,Local & non-local students studying in HK (UGC/self-financing),—,no,All industries are eligible,High school (international) + university entrance exam in HKSAR + BRI criteria/nationality,High school (international) + university entrance exam in HKSAR + BRI criteria/nationality,Not stated,Outstanding academic achievement; leadership/contribution,—,Academics and social contributions,Renewal if qualified,Nominating school + supporting documents,Nominating school + supporting documents,Reviewed & published by EDB/school,https://www.edb.gov.hk/en/edu-system/postsecondary/local-higher-edu/publicly-funded-programmes/scholarship.html,EDB announces HK$40k/80k rates & annual report,yes,Not applicable,Not applicable,,,
MAECI Scholarship (Study in Italy Grant – Short-term/Living Allowance),Italian Ministry of Foreign Affairs (MAECI),government,Multiple levels from partial to full,**NOT** funding for standard 3-year Bachelor's degree; for Master's/PhD/AFAM/research & language courses,Study in Italy Portal,4–5,According to the announcement,~16/05 (eg 2025),Not published yet,no,,Not applicable to standard Bachelor's,—,yes,Usually for Master/PhD/AFAM/research,Not purely recruiting Bachelors (short-term/living support),Not purely recruiting Bachelors (short-term/living support),—,—,—,—,—,Apply online on Study in Italy,Apply online on Study in Italy,According to MAECI criteria,https://www.esteri.it/en/opportunita/borse-di-studio/per-cittadini-stranieri/borsestudio_stranieri/,Official call stating the subject **not including standard UG**,yes,Not applicable,Not applicable,,,
University of Hong Kong Scholarships (General International Awards),The University of Hong Kong (HKU),university,"Partial tuition waiver, renewable annually if requirements met",Overview of scholarships for international students,Automatic/single (depending on program),9–6,According to HKU milestone,According to HKU milestone,Not published yet,yes,,International students (non-local),—,no,All industries,High school (international) + HKU admission,High school (international) + HKU admission,Not stated,Consider scores & non-academic achievements,—,Academics & Activities,By scholarship,Admission documents + (possibly) separate application,Admission documents + (possibly) separate application,Automatic review or on-demand submission,https://admissions.hku.hk/fees-and-scholarships/scholarships,HKU Scholarship Overview Page,yes,Not published yet,Not published yet,,,
ICSP Scholarships – University of Oregon,University of Oregon,university,"C$20,000 per year for up to 4 years (renewable)",Includes **cultural service obligation** (presentation about Vietnam at school/community),Apply online/via ISSS,10–2,January 15 (UO application deadline for new students),~Between 2 (annual ICSP deadline),Not published yet,yes,,International students (non-US citizens/PR),—,no,All UG disciplines are eligible,High school (international) + passed University of Oregon + participated in ICSP (service),High school (international) + passed University of Oregon + participated in ICSP (service),~GPA 3.5 (minimum requirement),Adequate additional financial resources; presentation skills,Community activities,"Good presentation skills, intercultural communication, and academics",Annual renewal upon completion of obligations,ICSP application + essay + financial proof + references,ICSP application + essay + financial proof + references,Selection & interview (if any),https://isss.uoregon.edu/icsp/application,ISSS specifies the conditions & deadlines,yes,Not published yet,Not published yet,,,
University of Calgary International Entrance Scholarship,University of Calgary,university,50% tuition waiver (full program if maintained),Prestige Award for first-year international students; requires GPA ≥2.60 each year for renewal,Application via My UCalgary portal (High School Prestige Awards),10–12,According to UCalgary,According to UCalgary,2,yes,,"First year international student, full ELP",—,no,All industries,High school (international) + University of Calgary admission,High school (international) + University of Calgary admission,Not stated,High academic achievement; strong profile,—,Academics and performance,Extension if GPA ≥2.60/24 units,application + supporting documents,application + supporting documents,Review & Notification,https://www.ucalgary.ca/registrar/awards/university-calgary-international-entrance-scholarship,Official site describes in detail,yes,Not published yet,Not published yet,,,
Griffith Vice Chancellor’s International Scholarship,Griffith University,university,Financial aid (amount varies yearly),Applicable to international students with excellent achievements in UG/PG coursework,Online application (after offer),Year round (by Trimester),According to the enrollment period,According to the enrollment period,Not published yet,yes,,International students with Griffith offers,—,no,All UG disciplines are eligible,High school (international) + Griffith pass,High school (international) + Griffith pass,Not stated,Very high entry score; academic criteria,—,Academic excellence,Maintain academic standards as prescribed,Online order + offer,Online order + offer,Submit offer → submit scholarship form → review,https://www.griffith.edu.au/international/scholarships-finance/scholarships/vice-chancellors-international-scholarship,Value 50% of full course tuition,yes,Not published yet,Not published yet,,,
Dr. Elemér and Éva Kiss Scholarship Fund,Hungarian American Coalition,fund / organization,"Up to approximately US$3,500",For students of Hungarian origin/Hungarian citizens studying full-time at a university in the United States,Online/via HAC application,6–9,According to the announcement,According to the announcement,Not published yet,no,,Must be a citizen of Hungary or a community of Hungarian origin in some neighboring country,Hungarian/ethnic Hungarian (SK/RO/RS/UA),no,All industries (as per instructions),High school (or equivalent) + according to Kiss fund criteria,High school (or equivalent) + according to Kiss fund criteria,Not stated,Good academic record; full-time admission in the US,—,Academic and financial need,By invitation,Application + transcript + financial proof,Application + transcript + financial proof,Submit HAC application → selection,https://hacusa.org/dr-elemer-and-eva-kiss-scholarship-fund/,**Not open to Vietnamese students without Hungarian origin**,yes,Not applicable,Not applicable,,,
IAPD Scholarship,IAPD – The Performance Plastics Association,fund / organization,"Total fund US$200,000 per year; individual awards US$1,500–10,000",For 12th grade students about to enter university & university students related to plastics/engineering; requirement **GPA ≥3.5/4.0**,Online application,1–4,According to the announcement,According to the announcement,Not published yet,yes,,Priority given to materials/plastic related industries; international opening (depending on conditions),—,yes,Polymer/Plastics/Engineering/Business related,High school (or equivalent) + appropriate dental/medical major (IAPD criteria),High school (or equivalent) + appropriate dental/medical major (IAPD criteria),3.5/4.0,By major/academic grade,—,"Good academics, oriented towards plastics industry",By invitation,Online application + transcript + essay,Online application + transcript + essay,Submit to IAPD portal → selection,https://www.iapd.org/IAPD/IAPD/Scholarship/Scholarship.aspx,Values ​​& Winners 2025 posted publicly,yes,Not applicable,Not applicable,,,
