Scholarship_Name,Tổ chức cấp học bổng,Loại học bổng,Mức tài trợ,Chi tiết tài trợ,Hình thức mở đơn,Tháng mở đơn (thường niên),Ngày bắt đầu nhận hồ sơ,Ngày kết thúc nộp hồ sơ,Số lượng suất (nếu có),Dành cho sinh viên Việt Nam,Giới hạn đối tượng,Danh sách giới hạn đối tượng (nếu có),Giới hạn ngành nghề,Danh sách nhóm ngành / ngành cụ thể,Bằng cấp yêu cầu,GPA tối thiểu,Yêu cầu xếp hạng / liên quan ngành học,Kinh nghiệm yêu cầu,Năng lực & thành tích (requirements.competencies),Điều kiện gia hạn học bổng,Hồ sơ yêu cầu,Quy trình nộp hồ sơ,Liên kết học bổng (URL),Ghi chú (nếu có),Thường niên (Có/Không/Chưa rõ),,,
Rhodes Scholarship (Global),Rhodes Trust (Oxford),Quỹ / Tổ chức,Full-ride: học phí Oxford + stipend + vé máy bay,Có Global Scholarships cho các nước không có constituency riêng (VN đủ điều kiện),Đơn online Rhodes,6–8,Theo call,Theo call,~100/năm,Có,Mọi quốc tịch,Danh mục constituency + Global,Có giới hạn,Các Master tại Oxford,Cử nhân (hoặc tương đương),Không nêu,Top 1–2% thành tích học tập,Hoạt động xã hội/ lãnh đạo,"Trí tuệ, lãnh đạo, nhân cách",Theo thời hạn,Đơn + bài luận + phỏng vấn,Nộp trực tuyến,https://www.rhodeshouse.ox.ac.uk/scholarships/apply/,Cạnh tranh cao,Có,,,
Gates Cambridge Scholarship,University of Cambridge & Gates Trust,Trường/Quỹ,Full-ride: full fees + stipend + airfare,Cho mọi quốc tịch ngoài UK; Master tại Cambridge,Đơn Cambridge + form Gates,9–12,Theo cycle Cambridge,Theo cycle,~80/năm,Có,Mọi quốc tịch ngoài UK,—,Có giới hạn,Theo chương trình đủ điều kiện,Cử nhân (hoặc tương đương),Không nêu,Học lực xuất sắc & referees mạnh,—,"Học thuật, lãnh đạo, phục vụ",Theo thời hạn,Đơn Cambridge + essay Gates,Online → xét panel,https://www.gatescambridge.org/apply/,Hạn khác theo khoa,Có,,,
Clarendon Scholarship (Oxford),University of Oxford,Trường,Full fees + stipend,Tự động xét cho mọi ứng viên graduate (Master/PhD),Tự động xét,9–12,Theo cycle Oxford,Theo cycle,~200/năm,Có,Mọi quốc tịch,—,Không,Mọi Master tại Oxford,Cử nhân (hoặc tương đương),Không nêu,Hồ sơ xuất sắc,—,Học thuật xuất sắc,Theo khóa,Không cần đơn ri,,,,,,,
ETH Zurich Excellence Scholarship & Opportunity Programme,ETH Zürich,Trường,Miễn 100% học phí + phụ cấp sinh hoạt (mức theo từng khoa),ESOP dành cho ứng viên Master xuất sắc; gói hỗ trợ học phí + chi phí sinh hoạt; xét rất cạnh tranh,Đơn trực tuyến kèm hồ sơ tuyển sinh ETH,10–12,Theo chu kỳ tuyển sinh ETH,Theo chu kỳ tuyển sinh ETH,Chưa công bố,Có,SV quốc tế nộp chương trình Master tại ETH,—,Có giới hạn,Theo danh mục Master đủ điều kiện,Cử nhân (hoặc tương đương),Không nêu,Hồ sơ top; thư giới thiệu mạnh; động lực rõ ràng,—,Học thuật xuất sắc; tiềm năng nghiên cứu/đổi mới,Theo thời lượng khóa; duy trì chuẩn,Đơn ETH + bài luận + thư giới thiệu,Apply chương trình Master → nộp ESOP trên eApply,https://ethz.ch/en/studies/financial/scholarships/excellence-scholarship.html,Cực kỳ cạnh tranh; mở mỗi năm,Có,,,
Weidenfeld-Hoffmann Scholarships (Oxford),University of Oxford & Weidenfeld-Hoffmann Trust,Trường/Quỹ,Full fees + stipend sinh hoạt + hỗ trợ phát triển lãnh đạo,Dành cho Master tại Oxford với định hướng lãnh đạo & phát triển; yêu cầu nộp hồ sơ học bổng trong quá trình apply,Đơn trực tuyến (qua hồ sơ Oxford + form/hạng mục học bổng),9–12,Theo cycle Oxford,Theo cycle Oxford,Chưa công bố,Có,Mọi quốc tịch (trừ một số hạn chế theo khóa),—,Có giới hạn,Theo danh mục ngành đủ điều kiện (chủ yếu liên quan phát triển/chính sách/luật…),Cử nhân (hoặc tương đương),Không nêu,Hồ sơ học thuật xuất sắc; cam kết phục vụ cộng đồng,Kinh nghiệm hoạt động (ưu tiên),"Lãnh đạo, tác động xã hội, phù hợp sứ mệnh quỹ",Theo thư mời,Đơn Oxford + tick học bổng + tài liệu bổ sung,Nộp Oxford → hội đồng WHT xét,https://www.ox.ac.uk/admissions/graduate/fees-and-funding/weidenfeld-hoffmann-scholarships-and-leadership-programme,Gói full + leadership program,Có,,,
AAUW International Fellowships (for women),AAUW,Quỹ / Tổ chức,US$20.000–50.000 (tùy bậc; Master ~US$20.000),Chỉ dành cho **nữ** không phải công dân/PR Hoa Kỳ; học **thạc sĩ/tiến sĩ** tại cơ sở ở Mỹ,Đơn trực tuyến,8–11,Theo call,Theo call,~3.000 (toàn hệ quỹ/năm),Có,Chỉ nữ; không phải công dân/PR Mỹ,—,Không,Mọi ngành Master tại cơ sở ở Hoa Kỳ,Cử nhân (hoặc tương đương),Không nêu,Đã nộp/nhập học chương trình được công nhận,—,"Học thuật, lãnh đạo, tác động xã hội",Theo thời lượng tài trợ,Đơn + bằng cấp + bằng chứng nhập học/tài chính,Nộp online qua cổng AAUW,https://www.aauw.org/resources/programs/fellowships-grants/current-opportunities/international/,Chỉ nữ; rất cạnh tranh,Có,,,
PEO International Peace Scholarship (for women),PEO International,Quỹ / Tổ chức,Tối đa **US$12.500/năm** (không tài trợ toàn phần),Dành cho **nữ** quốc tịch ngoài Hoa Kỳ/Canada học **thạc sĩ/tiến sĩ** tại Mỹ/Canada; yêu cầu chứng minh nguồn tài chính bổ sung,Đơn trực tuyến + liên hệ Chapter,8–12,Theo call,Theo call,Chưa công bố,Có,Chỉ nữ không mang quốc tịch/PR Mỹ-Canada,—,Không,Mọi ngành Master tại cơ sở ở Mỹ/Canada,Cử nhân (hoặc tương đương),Không nêu,Đã được nhận vào một chương trình đủ điều kiện,—,Học thuật; nhu cầu tài chính; tiềm năng,Theo quy định PEO,Đơn + thư nhập học + chứng minh tài chính,Apply online → phỏng vấn Chapter (nếu có),https://www.peointernational.org/peo-international-peace-scholarship-ips,Không bao gồm học online/định cư,Có,,,
Inlaks Shivdasani Foundation Scholarships,Inlaks Shivdasani Foundation,Quỹ / Tổ chức,Tối đa **US$100.000** (Master),Chỉ dành cho **công dân Ấn Độ**; tài trợ học thạc sĩ tại top trường ở Mỹ/Anh/Châu Âu (một số ngành **không** tài trợ như Engineering/CS thường bị giới hạn),Đơn trực tuyến + phỏng vấn,1–4,Theo call,Theo call,Chưa công bố,Không,Chỉ công dân Ấn Độ cư trú tại Ấn Độ,—,Có giới hạn,Trừ một số ngành kỹ thuật/kinh doanh (xem danh mục),Cử nhân (hoặc tương đương),Không nêu,Thành tích học thuật/portfolio mạnh,Kinh nghiệm/portfolio (ngành nghệ thuật/thiết kế),Học thuật,sáng tạo,lãnh đạo,Theo quy định,Đơn + portfolio + phỏng vấn nhiều vòng,Nộp trực tuyến → phỏng vấn,https://www.inlaksfoundation.org/scholarships/,Không áp dụng cho ứng viên VN,Có,
SEARCA Graduate Scholarship,SEARCA (SEAMEO),Quỹ / Tổ chức,Toàn phần: học phí + sinh hoạt + vé máy bay + nghiên cứu,Dành cho công dân **Đông Nam Á** (bao gồm **Việt Nam**) học **Master/PhD** về **nông nghiệp/phát triển nông thôn** tại các ĐH đối tác,Đơn qua SEARCA/ĐH đối tác,9–1,Theo call,Theo call,Chưa công bố,Có,Chỉ công dân ASEAN,ASEAN Member States,Có,"Nông nghiệp, lương thực, phát triển nông thôn…",Cử nhân (hoặc tương đương),Không nêu,Theo yêu cầu ĐH/SEARCA,Kinh nghiệm phát triển (ưu tiên),Học thuật,phát triển,bền vững,Theo tiến độ,Đơn + đề cương + thư giới thiệu,SEARCA/ĐH xét → thông báo,https://www.searca.org/scholarship,Ưu tiên chủ đề an ninh lương thực,Có,
Brazil PEC-PG Graduate Scholarship Program,Government of Brazil (CAPES/MRE),Chính phủ,Miễn học phí + sinh hoạt (mức theo call),Chương trình PEC-PG trước đây dành cho **Master/PhD** cho công dân các nước đang phát triển; tình trạng triển khai gần đây **thay đổi/gián đoạn**,Đơn qua ĐSQ Brazil/CAPES,4–7,Theo call,Theo call,Chưa công bố,Chưa rõ,Công dân các nước đang phát triển,—,Có giới hạn,Theo danh mục trường Brazil tiếp nhận,Cử nhân (hoặc tương đương),Không nêu,Theo yêu cầu CAPES/ĐH,—,Học thuật,Theo call,Đơn + hồ sơ ngoại giao + thư mời (nếu cần),ĐSQ/Capac xét,https://www.gov.br/capes/pt-br,Chương trình có thể tạm dừng; cần kiểm tra năm hiện hành,Chưa rõ,,,
Mexican Government Scholarship (AMEXCID),AMEXCID (Secretaría de Relaciones Exteriores – México),Chính phủ,Toàn phần: học phí + sinh hoạt + bảo hiểm + vé máy bay,Chương trình **Excellence Scholarship for Foreigners** của **AMEXCID** mở cho Master tại các cơ sở Mexico,Đơn trực tuyến AMEXCID,5–7,Theo call,Theo call,Chưa công bố,Có,Công dân các nước đủ điều kiện (có Việt Nam),—,Có,Theo danh mục chương trình/ĐH tiếp nhận,Cử nhân (hoặc tương đương),Không nêu,Theo yêu cầu ĐH/AMEXCID,—,Học thuật & động lực,Theo thời lượng khóa,Đơn + thư nhận học/tiền chấp nhận,Nộp trên hệ thống AMEXCID → xét,https://www.gob.mx/amexcid,Kiểm tra “Becas de Excelencia”,Có,,,
Austrian Government (ADC) Scholarships,Austrian Development Cooperation (ADC) / OeAD,Chính phủ,Toàn phần/partial: học phí + sinh hoạt + bảo hiểm + vé bay (tuỳ chương trình),"Một số học bổng theo **phối hợp phát triển** (ví dụ qua **APPEAR**, **Ernst Mach – ASEA-UNINET**…); tiêu chí quốc tịch/ngành **khác nhau**",Đơn qua chương trình/ĐH đối tác,10–3,Theo call,Theo call,Chưa công bố,Chưa rõ,Theo từng chương trình của ADC/OeAD,Danh sách quốc gia/đối tác theo chương trình,Có giới hạn,"Theo chủ đề phát triển, khoa học, kỹ thuật",Cử nhân (hoặc tương đương),Không nêu,Theo tiêu chí chương trình,—,Học thuật & hợp tác phát triển,Theo chương trình,Đơn + hồ sơ theo mẫu,Nộp qua cổng chương trình,https://www.oead.at/en/to-austria/grants-and-scholarships,Kiểm tra từng scheme (APPEAR/Ernst Mach…),Có,,,
ICCR Scholarships (Indian Council for Cultural Relations),Indian Council for Cultural Relations (A2A),Chính phủ,Miễn học phí + sinh hoạt + KTX + bảo hiểm (tuỳ trường),Có **Master**; nộp qua cổng **A2A** và qua ĐSQ Ấn Độ; nhiều scheme,Cổng A2A ICCR,2–4,Khoảng 20/02,Theo call,640 slot (tham chiếu theo scheme),Có,Công dân các nước (có Việt Nam),—,Không,Theo danh mục trường/ ngành tiếp nhận,Cử nhân (hoặc tương đương),Không nêu,Theo tiêu chí ĐH tiếp nhận,—,Học thuật,Theo quy định,Đăng ký A2A + hồ sơ,ĐSQ xác nhận → ICCR xét,https://a2ascholarships.iccr.gov.in/,Kiểm tra chỉ tiêu theo năm,Có,,,
Marshall Scholarship (UK),Marshall Aid Commemoration Commission,Chính phủ,Full cost: học phí + sinh hoạt + vé máy bay + thiết bị,**Chỉ dành cho công dân Hoa Kỳ** học Master/PhD tại Anh,Đơn trực tuyến + đề cử,5–9,Theo call,Theo call,~40–50/năm,Không,Chỉ công dân Hoa Kỳ,—,Không,Mọi ngành tại đại học Vương quốc Anh,Cử nhân (hoặc tương đương),Không nêu,GPA cao; hồ sơ xuất sắc; lãnh đạo,—,Học thuật & lãnh đạo,Theo thời lượng học,Đơn + tham chiếu + phỏng vấn khu vực,Nộp online → Hội đồng Marshall xét,https://www.marshallscholarship.org/,Không phù hợp ứng viên VN,Có,,,
MOFCOM Scholarship (China),Ministry of Commerce of the PRC,Chính phủ,Toàn phần: học phí + sinh hoạt + ký túc + bảo hiểm + vé bay,Dành cho viên chức/cán bộ hoặc ứng viên từ các nước đang phát triển; Master tại ĐH TQ (chương trình tiếng Anh nhiều ngành),Đơn qua ĐSQ/đơn vị đề cử + portal,1–5,Theo call,Theo call,Chưa công bố,Có,Công dân nước đang phát triển (có VN),—,Có,Theo danh mục chương trình MOFCOM,Cử nhân (hoặc tương đương),Không nêu,Theo yêu cầu MOFCOM/ĐH,Kinh nghiệm công tác công (ưu tiên),Học thuật & năng lực công vụ,Theo quy định,Đơn + đề cử cơ quan + hồ sơ học thuật,Nộp qua ĐSQ/đơn vị → MOFCOM xét,https://www.china-aibo.cn/portal/article/index/cid/23.html,Ưu tiên công chức/cán bộ,Có,,,
Heinrich Böll Foundation Scholarships,Heinrich Böll Stiftung (Germany),Quỹ / Tổ chức,Trợ cấp sinh hoạt hàng tháng + hỗ trợ học phí (nếu có),Dành cho Master tại **Đức** (mọi quốc tịch); yêu cầu phù hợp giá trị xanh – dân chủ – nhân quyền; thường cần **tiếng Đức** tốt,Đơn trực tuyến,1–3 & 9–10,Theo call,Theo call,Chưa công bố,Có,Mọi quốc tịch; học tại ĐH ở Đức,—,Không,Mọi ngành Master,Cử nhân (hoặc tương đương),Không nêu,Thành tích học thuật; hoạt động xã hội,Hoạt động xã hội/ chính trị,Giá trị & cam kết,Theo quy định,Đơn + bài luận + chứng chỉ ngôn ngữ,Online → phỏng vấn,https://www.boell.de/en/foundation/scholarships,Thường yêu cầu trình độ tiếng Đức (B2/C1),Có,,,
Konrad Adenauer Stiftung (KAS) Scholarship,Konrad-Adenauer-Stiftung (Germany),Quỹ / Tổ chức,Stipend hàng tháng + hỗ trợ học thuật; có thể hỗ trợ học phí hạn chế,Dành cho sinh viên quốc tế Master tại Đức; yêu cầu **tiếng Đức B2** và hoạt động xã hội/ chính trị,Đơn trực tuyến + phỏng vấn,1–7 (tuỳ văn phòng),Theo call,Theo call,Chưa công bố,Có,Mọi quốc tịch; ưu tiên khu vực mục tiêu,—,Không,Mọi ngành Master tại ĐH Đức,Cử nhân (hoặc tương đương),Không nêu,Thành tích tốt; lãnh đạo; tiếng Đức B2,Kinh nghiệm/hoạt động xã hội,Giá trị dân chủ,pháp quyền,Theo thời lượng khóa,Đơn + bài luận + chứng chỉ tiếng,Online → phỏng vấn,https://www.kas.de/en/web/begabtenfoerderung-und-kultur,Tiếng Đức là bắt buộc,Có,,
Frank Knox Memorial Fellowship (Harvard University),Harvard University,Trường/Quỹ,Full tuition + stipend + phí bắt buộc,"**Chỉ dành cho công dân**: Anh, Canada, Úc, New Zealand (và đôi khi một số đại học đối tác) để học sau ĐH tại Harvard",Đơn qua cơ quan đề cử/quốc gia,10–1,Theo call,Theo call,Chưa công bố,Không,Không dành cho công dân Việt Nam,Danh sách quốc tịch đủ điều kiện,Không,Theo chương trình graduate tại Harvard,Cử nhân (hoặc tương đương),Không nêu,Hồ sơ học thuật & lãnh đạo xuất sắc,—,Học thuật & lãnh đạo,Theo thời lượng khóa,Đơn + đề cử + hồ sơ Harvard,Nộp qua cơ quan đề cử → Harvard xét,https://grad.fas.harvard.edu/ggsas/programs-of-study/financial-aid/frank-knox-memorial-fellowship,Giới hạn quốc tịch,Có,,,
MAEC-AECID Scholarship (Spain),AECID – Spanish Agency for International Development Cooperation,Chính phủ,Hỗ trợ học phí/sinh hoạt/nhà ở (mức theo **call** từng năm),Các dòng **Becas MAEC-AECID** cho công dân nước ngoài học **Master** tại Tây Ban Nha; ưu tiên lĩnh vực phát triển/văn hoá/quan hệ quốc tế,Cổng AECID,3–5,Theo call,Theo call,Chưa công bố,Có,Theo danh mục quốc gia ưu tiên & chương trình,Danh sách quốc gia AECID,Có giới hạn,Theo danh mục chương trình nhận,Cử nhân (hoặc tương đương),Không nêu,Theo yêu cầu trường/AECID,Kinh nghiệm (ưu tiên),Học thuật & phát triển,Theo quy định,Đơn + hồ sơ theo mẫu,Nộp portal AECID → xét,https://www.aecid.es/,Kiểm tra call hằng năm,Có,,,
Mandela Rhodes Scholarship,The Mandela Rhodes Foundation (South Africa),Quỹ / Tổ chức,Học phí + ăn ở + sinh hoạt + phí nghiên cứu + lãnh đạo,**Chỉ công dân châu Phi** học Honours/ Master tại Nam Phi; chương trình phát triển lãnh đạo chuyên sâu,Đơn trực tuyến,3–7,Theo call,Theo call,~100/năm,Không,Chỉ công dân các nước châu Phi,—,Có,Theo ngành tại ĐH Nam Phi,Cử nhân (hoặc tương đương),Không nêu,Thành tích rất cao; lãnh đạo; phục vụ cộng đồng,Kinh nghiệm/hoạt động lãnh đạo,Giá trị Mandela,Theo thời lượng,Đơn + tham chiếu + phỏng vấn nhiều vòng,Online → MRF xét,https://www.mandelarhodes.org/scholarship/apply/,Không áp dụng cho VN,Có,,,
Emile Boutmy Scholarship (Master – Sciences Po),Sciences Po,Trường,€13.100–€27.000 (toàn khóa 2 năm),Dành cho **sinh viên ngoài EU**; xét theo hồ sơ nhập học; cần chứng minh tài chính/động lực,Đơn kèm hồ sơ tuyển sinh (không form riêng),10–2,Theo cycle Sciences Po,Theo cycle Sciences Po,Nhiều suất/năm,Có,Công dân ngoài EU/EEA (có Việt Nam),—,Không,Mọi Master đủ điều kiện,Cử nhân (hoặc tương đương),Không nêu,Học thuật xuất sắc; profile mạnh,—,Học thuật & động lực,Theo quy định,Đơn Admissions + mục xét Boutmy,Sciences Po xét và thông báo,https://www.sciencespo.fr/admissions/en/fees-funding/bursaries/emile-boutmy-scholarship.html,Giá trị khác cho 1 năm/2 năm,Có,,,
Amsterdam Excellence Scholarship (AES),University of Amsterdam (UvA),Trường,**€25.000/năm** (full: học phí + sinh hoạt),Dành cho **non-EU/EEA** học Master tại UvA; cực kỳ cạnh tranh; thường yêu cầu GPA rất cao,Đơn trực tuyến qua khoa/chương trình,11–1,Theo khoa,Theo khoa,Rất ít,Có,Non-EU/EEA,—,Có giới hạn,Theo chương trình Master đủ điều kiện,Cử nhân (hoặc tương đương),Không nêu,Top hồ sơ; thư giới thiệu mạnh,—,Học thuật xuất sắc; lãnh đạo (nếu yêu cầu),Theo quy định,Đơn + bài luận + referees,Apply qua khoa → xét,https://www.uva.nl/en/education/master-s/amsterdam-excellence-scholarship/amsterdam-excellence-scholarship.html,Rất ít suất,Có,,,
TU Delft Excellence Scholarships (Justus & Louise van Effen),TU Delft,Trường,Full tuition + **€30.000/năm** (sinh hoạt) – mức tham chiếu,Dành cho SV quốc tế Master tại TU Delft; yêu cầu **nộp trước hạn sớm (thường 1/12–15/12)**; portfolio mạnh,Đơn trực tuyến + upload hồ sơ học bổng,10–12,Theo call TU Delft,Theo call TU Delft,~30–40/năm (tham chiếu),Có,Mọi quốc tịch ngoài EU/EEA (ưu tiên),—,Có,Theo các MSc của TU Delft,Cử nhân (hoặc tương đương),Không nêu,GPA/điểm đầu vào rất cao; thư giới thiệu mạnh,—,Học thuật xuất sắc; tiềm năng đổi mới,Theo thời lượng,Đơn + motivation + 2 referees,Nộp trên portal TU Delft,https://www.tudelft.nl/en/education/practical-matters/scholarships/justus-louise-van-effen-excellence-scholarships,Deadline sớm,Có,,,
Allan & Nesta Ferguson Masters Scholarships (Sheffield),University of Sheffield & Allan & Nesta Ferguson Charitable Trust,Trường/Quỹ,Full tuition + stipend (mức theo năm),Dành cho công dân các nước đang phát triển học các **khóa Master được chỉ định** tại Sheffield; số suất giới hạn,Đơn trực tuyến (sau khi có offer),1–4,Theo call,Theo call,Rất ít,Có,Công dân nước đang phát triển (có VN),Danh mục quốc gia/khóa học chỉ định,Có giới hạn,Theo danh mục khóa học Ferguson (thay đổi mỗi năm),Cử nhân + kinh nghiệm làm việc (đối tượng châu Phi; theo JICA/AfDB),Không nêu,Offer vô điều kiện/điều kiện + bài luận mạnh,Kinh nghiệm phát triển (ưu tiên),Học thuật & tác động xã hội,Theo quy định,Đơn + bài luận + chứng từ,Apply qua portal Sheffield,https://www.sheffield.ac.uk/international/fees-and-funding/scholarships/postgraduate-taught/ferguson,Kiểm tra khóa eligible hằng năm,Có,,,
,,,,,,,,,,,,,,,Cử nhân (hoặc tương đương),,,,,,,,,,,,,
Eric Bleumink Fund Scholarship (Groningen),University of Groningen,Trường,Toàn phần (học phí + chi phí sinh hoạt),Quỹ EBF tài trợ cho ứng viên từ các nước kém phát triển theo danh sách của trường; chi tiết mức trợ cấp không nêu công khai,Đề cử bởi trường (không tự nộp trực tiếp),Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có,Ứng viên từ quốc gia thu nhập thấp/kém phát triển,Theo định hướng của EBF,Không giới hạn ngành trong các chương trình ThS của trường,Các ngành Thạc sĩ đủ điều kiện tại UG,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Không nêu,Thành tích học thuật xuất sắc; động lực đóng góp cho quốc gia,Có thể gia hạn theo thời gian chương trình nếu đạt yêu cầu học thuật,"Thư mời nhập học tạm thời/chính thức, hồ sơ cá nhân (không nêu chi tiết)",Được trường đề cử sau khi có thư mời; không nhận hồ sơ trực tiếp,https://www.rug.nl/alumni/support-research-and-education/scholarships-and-awards/eric-bleumink-fund/applying-for-a-grant?lang=en,Chương trình do trường quản lý; không phải ứng tuyển tự do,Có,,,
Friedrich Ebert Stiftung Scholarships,Friedrich-Ebert-Stiftung,Quỹ / Tổ chức,Trợ cấp sinh hoạt hàng tháng + bảo hiểm; miễn/ hỗ trợ chi phí học tập theo quy định,"≈934€ (sinh viên) / 1.200€ (sau ĐH) + phụ cấp gia đình, hoàn chi phí bảo hiểm; điều kiện kèm theo",Tự nộp trực tuyến,Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có,Phải học tại cơ sở giáo dục Đức công lập/được công nhận,Không nêu,Không giới hạn rộng (mọi ngành),Mọi ngành đủ điều kiện tại trường ở Đức,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Không nêu,Cam kết xã hội/dân chủ; thành tích học tập tốt,Gia hạn theo tiến độ học tập đạt yêu cầu,Hồ sơ online theo hướng dẫn FES,Đăng ký tại trang FES; qua vòng tuyển chọn,https://www.fes.de/studienfoerderung/information-in-english,Mạnh về yêu cầu dấn thân xã hội,Có,,,
Fundación Carolina Scholarships,Fundación Carolina,Quỹ / Tổ chức,Học phí (toàn phần/ một phần) + trợ cấp sinh hoạt (tùy chương trình),Nhiều chương trình thạc sĩ/tiến sĩ; chỉ dành cho công dân Ibero–Mỹ & Bồ Đào Nha,Tự nộp qua cổng FC,Thường mở cuối năm trước/đầu năm,Chưa rõ,Chưa rõ,~735 suất (mọi loại) năm 2025,Không,Công dân Cộng đồng Ibero–Mỹ & Bồ Đào Nha,Hộ chiếu các nước Ibero–Mỹ/Portugal,Theo từng chương trình,Theo từng chương trình,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Không nêu,Thành tích học thuật; điều kiện riêng từng học bổng,Theo kỳ hạn chương trình,Hồ sơ online qua cổng FC,"Đăng ký tài khoản, chọn chương trình, nộp trực tuyến",https://www.fundacioncarolina.es/,Không mở cho ứng viên Việt Nam,Có,,,
Scotland Saltire Scholarship,Scottish Government,Chính phủ,Học bổng bán phần (trước đây),"Chương trình do Chính phủ Scotland phối hợp ĐH Scotland; lĩnh vực ưu tiên như khoa học, công nghệ, y – sức khỏe, sáng tạo",Tự nộp khi có thông báo,Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có (khi chương trình mở),Nhắm tới học ThS tại các ĐH Scotland,Theo lĩnh vực ưu tiên,"Khoa học, công nghệ, công nghiệp sáng tạo, y & khoa học y – sinh",Bằng cử nhân (để vào ThS),Cử nhân (hoặc tương đương),Không nêu,Không nêu,"Động lực học tập, thành tích; thư giới thiệu",Không nêu,Hồ sơ online theo thông báo từng năm,Theo hướng dẫn của Chính phủ Scotland/đối tác,https://www.gov.scot/policies/universities/university-internationalisation/,"Chương trình có giai đoạn tạm dừng, theo dõi trang chính phủ",Chưa rõ,,,,
King Fahd University Scholarship (KFUPM),King Fahd University of Petroleum & Minerals (KFUPM),Trường,Toàn phần,"Miễn học phí, sách, bảo hiểm y tế, chỗ ở, trợ cấp hàng tháng; cơ hội RA/ dự án; hỗ trợ hội thảo (điều kiện kèm theo)",Tự nộp trực tuyến,Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có,Ứng viên học ThS/PhD tại KFUPM,Không nêu,Theo chương trình sau ĐH của KFUPM,Bằng cử nhân (ThS) / ThS (PhD),Cử nhân (hoặc tương đương),Không nêu,Không nêu,Hồ sơ học thuật mạnh; tiếng Anh theo yêu cầu,Theo tiến độ & kết quả học tập,"Bảng điểm, chứng chỉ tiếng Anh, CV, thư giới thiệu…",Đăng ký qua cổng CGIS KFUPM,https://cgis.kfupm.edu.sa/admission/kfupm-scholarship,Áp dụng chủ yếu cao học,Có,,,,
Qatar University Graduate Scholarships,Qatar University,Trường,Đa dạng (miễn học phí/ trợ cấp),Các loại học bổng cạnh tranh/không cạnh tranh/khác do QU cấp; điều kiện theo từng loại,Tự nộp trực tuyến,Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có,Theo loại học bổng của QU,Không nêu,Theo chương trình sau ĐH của QU,Bằng cử nhân (ThS) / ThS (PhD),Cử nhân (hoặc tương đương),Không nêu,Không nêu,Thành tích học thuật; tiêu chí từng loại,Theo quy định từng loại học bổng,Hồ sơ online theo yêu cầu từng loại,Nộp qua cổng học bổng QU,https://www.qu.edu.qa/en-us/students/admission/scholarships,Kiểm tra từng loại học bổng cụ thể,Có,,,,
Open Doors Russian Scholarship (Global Universities),Association of Global Universities (hỗ trợ bởi Bộ KH&GD Liên bang Nga),Chính phủ,Miễn học phí + suất hỗ trợ của Chính phủ (tuỳ năm),Thi tuyển/olympiad trực tuyến; người thắng cuộc được nhập học không thi và học phí do nhà nước chi trả; có track Cử nhân/ThS/PhD (tùy mùa),Thi/đánh giá trực tuyến (tự đăng ký),Thường cuối năm,Chưa rõ,Chưa rõ,Chưa rõ,Có,Mở toàn cầu (điều kiện quốc tịch theo năm),Không nêu,Theo lĩnh vực chủ đề do cuộc thi công bố,THPT (đối với UG) / Cử nhân (đối với ThS),Cử nhân (hoặc tương đương),Không nêu,Không nêu,Hồ sơ thành tích + bài thi/đánh giá trực tuyến,Theo quy định nhập học của trường trúng tuyển,"Đăng ký tài khoản, nộp portfolio, thi vòng 2",https://od.globaluni.ru/,Theo dõi thông báo mùa tuyển mỗi năm,Có,,,,,
Mauritius Government (Africa) Scholarship,Government of Mauritius,Chính phủ,Toàn phần/ bán phần (tùy bậc),Hỗ trợ học phí; một số khoản sinh hoạt/đi lại; dành cho công dân các nước châu Phi (và các nước đủ điều kiện),Qua cơ quan đề cử quốc gia/Đại sứ quán,Thường Q1–Q2,Chưa rõ,Chưa rõ,Không nêu,Không (đối tượng chính là châu Phi),Công dân AU hoặc nước đủ điều kiện theo thông báo,Không nêu,Theo chuyên ngành tại các ĐH công lập ở Mauritius,THPT (UG) / Cử nhân (ThS),Cử nhân (hoặc tương đương),Không nêu,Không nêu,Thành tích học thuật; điều kiện sức khoẻ/tuổi theo bậc,Theo tiến độ học tập đạt yêu cầu,"Mẫu đơn, bảng điểm, giấy tờ hộ chiếu…",Nộp qua cơ quan đề cử + cổng của Bộ Giáo dục Mauritius,https://education.govmu.org/Pages/Mauritius-Africa-Scholarships-Scheme-2025.aspx,Tên thường: Mauritius–Africa Scholarship Scheme,Có,,,,
